CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
'12316402000189','1602680','VC-BATALHA',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'39198577000195','1146262','VC-VALE PARAI FLUMI',1,1,0,1,"CÃ“DIGO: 6187067, CÃ“DIGO: 6187066, CÃ“DIGO: 6162599",não,,
'31972964000125','1559144','VC-MTA MERID PERNAM',1,2,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054188, CÃ“DIGO: 6054178",sim,,
'3979365000360','1117422','VC-SANTO ANGELO',2,2,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054204, CÃ“DIGO: 6054190, CÃ“DIGO: 6054205",sim,,
'19233663000184','1489015','VC-SAO MATEUS',0,1,0,0,CÃ“DIGO: 6187066,não,,
'33004756000168','1567716','VC-FERNANDOPOLIS',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
'82044819000115','1291144','VC-JAGUARIAIVA',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'1629755000112','1053416','VC-FLORAI',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'13582689000151','1305416','VC-IRECE',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'4561957010392','1650035','VC-MADEIRA',0,1,0,0,CÃ“DIGO: 6120895,não,,
'37020260000139','1532214','VC-PIRES DO RIO',0,1,0,0,CÃ“DIGO: 6135560,não,,
'17082564000113','1313910','VC-GUAPORE',1,1,0,0,"CÃ“DIGO: 6054204, CÃ“DIGO: 6054205",não,,
'46471520000183','1052142','VC-DRACENA',1,1,0,1,"CÃ“DIGO: 6054172, CÃ“DIGO: 6054180, CÃ“DIGO: 6135552",não,,
'17510481000188','1559123','VC-ALTO TELES PIRES',1,1,0,1,"CÃ“DIGO: 6054184, CÃ“DIGO: 6165750, CÃ“DIGO: 6132938",não,,
'37229046000197','1568958','VC-ITUIUTABA',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
'11582550000182','1571570','VC-PARANAVAI',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'36422811000128','1588365','VC-ITAITUBA',0,2,0,1,"CÃ“DIGO: 6165750, CÃ“DIGO: 6054178, CÃ“DIGO: 6132938",sim,,
'31332291000149','1522222','VC-CARAGUATATUBA',1,2,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6187066, CÃ“DIGO: 6054180",sim,,
'12778661000121','1636062','VC-PARANAGUA',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'25125446000173','1532331','VC-JACAREZINHO',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'16445127000154','1334823','VC-BREJO PERNAMBU',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'26597966000141','1431341','VC-JEREMOABO',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'26452690000103','1624605','VC-ALTO SOLIMOES',0,0,0,0,,não,,
'8954670000159','1198995','VC-GUARULHOS',1,1,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6054180",não,,
'35957903000140','1584790','VC-VITORIA CONQUIST',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'30192575000114','1608508','VC-SOBRAL',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'14411342000109','1556019','VC-RIO BRANCO',0,1,0,0,CÃ“DIGO: 6120895,não,,
'16632503000110','1457157','VC-TELEMACO BORBA',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'32604277000110','1618925','VC-BAIXO PANTANAL',0,1,0,0,CÃ“DIGO: 6054157,não,,
'27230433000190','1445613','VC-VITORIA ST ANTAO',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054188",não,,
'19758842000216','1615795','VC-BODOQUENA',0,1,0,0,CÃ“DIGO: 6054157,não,,
'11150786000140','1118292','VC-SERTAO DO MOXOTO',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'23768775000107','1486989','VC-SERRA D TEIXEIRA',0,1,0,0,CÃ“DIGO: 6054188,não,,
'19180666000105','1504292','VC-PARINTINS',0,0,0,0,,não,,
'13858125000107','1564136','VC-CANARANA',1,2,0,1,"CÃ“DIGO: 6054184, CÃ“DIGO: 6135560, CÃ“DIGO: 6054187, CÃ“DIGO: 6132938",sim,,
'15098680000103','1642218','VC-ARARAQUARA',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
'929710000109','1067091','VC-SERR SERTA ALAGO',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'5307549000309','1503411','VC-STA MARIA VITORI',0,1,0,0,CÃ“DIGO: 6135560,não,,
'12774567000102','1309263','VC-RIBEIRA D POMBAL',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'68038132000146','1596428','VC-AVARE',1,1,0,1,"CÃ“DIGO: 6054172, CÃ“DIGO: 6054180, CÃ“DIGO: 6135552",não,,
'22491677000102','1526028','VC-BOM JESUS D LAPA',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'12236381000191','1240826','VC-ARAGARCAS',0,1,0,0,CÃ“DIGO: 6135560,não,,
'53352258000113','1121278','VC-TUPA',1,1,0,1,"CÃ“DIGO: 6054172, CÃ“DIGO: 6054180, CÃ“DIGO: 6135552",não,,
'32893042000195','1482125','VC-N SENHORA DORES',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'11739079000193','1604361','VC-ALFENAS',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
'37145597000172','1585936','VC-ROSARIO',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'42384301000106','1631444','VC-CARIRA',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'43489663000124','1630272','VC-MOJI DAS CRUZES',1,1,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6054180",não,,
'4736124000190','1443410','VC-VARZEA ALEGRE',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'24545310000745','1495315','VC-ITAPERUNA',0,1,0,1,"CÃ“DIGO: 6187066, CÃ“DIGO: 6162599",não,,
'8960331000185','1141808','VC-BELEM',0,2,0,0,"CÃ“DIGO: 6111677, CÃ“DIGO: 6054178",sim,,
'31395654000195','1522880','VC-LAPA',0,1,0,0,CÃ“DIGO: 6054190,não,,
'38730295000124','1590385','VC-CAMPOS DE LAGES',1,2,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190, CÃ“DIGO: 6054205",sim,,
'22295150000102','1591360','VC-AGRESTE LAGARTO',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'11729177000140','1264674','VC-TRES LAGOAS',0,2,0,0,"CÃ“DIGO: 6054157, CÃ“DIGO: 6165750",sim,,
'31388164000161','1631861','VC-AMPARO',1,1,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6054180",não,,
'29260949000102','1555870','VC-AGRESTE ITABAIAN',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'1681150000170','1056054','VC-RIO NEGRO (PR)',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'22723082000135','1563829','VC-CRUZEIRO DO SUL',0,1,0,0,CÃ“DIGO: 6120895,não,,
'41203514000121','1627365','VC-MTA SETEN PERNAM',0,1,0,0,CÃ“DIGO: 6054188,não,,
'11306023000145','1227009','VC-CAPANEMA',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'24164476000126','1493621','VC-PATOS',0,1,0,0,CÃ“DIGO: 6054188,não,,
'23779684000177','1456560','VC-CHAPADA DO APODI',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'13581300000153','1265393','VC-VALENCA DO PIAUI',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'87248100000110','1053152','VC-CACHOEIRA DO SUL',0,1,0,0,CÃ“DIGO: 6054205,não,,
'10933438000186','1209285','VC-JAURU',1,1,0,1,"CÃ“DIGO: 6054184, CÃ“DIGO: 6054187, CÃ“DIGO: 6132938",não,,
'18500088000176','1427934','VC-LINHARES',0,1,0,1,"CÃ“DIGO: 6187066, CÃ“DIGO: 6162599",não,,
'22190347000187','1463130','VC-PICOS',2,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6187345, CÃ“DIGO: 6054178",sim,,
'20861576000150','1387046','VC-PARAIB/PARAITING',0,1,0,1,"CÃ“DIGO: 6054180, CÃ“DIGO: 6135552",não,,
'37702992000109','1607246','VC-REDENCAO',0,0,0,0,,não,,
'2974180000138','1071082','VC-CHAPADA ARARIPE',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'87353603000236','1043505','VC-JAGUARAO',1,1,0,0,"CÃ“DIGO: 6054204, CÃ“DIGO: 6054205",não,,
'12849887000176','1265731','VC-PRESIDENTE DUTRA',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'35686533000153','1614653','VC-BRASILIA',1,1,0,0,"CÃ“DIGO: 6172311, CÃ“DIGO: 6135560",não,,
'10546977000162','1189827','VC-LITORAL NORTE',0,1,0,0,CÃ“DIGO: 6054188,não,,
'11122045000155','1490132','VC-COLATINA',0,1,0,0,CÃ“DIGO: 6187066,não,,
'38274646000130','1644956','VC-RIO DE JANEIRO',1,1,0,1,"CÃ“DIGO: 6187067, CÃ“DIGO: 6187066, CÃ“DIGO: 6162599",não,,
'9017714000187','1602379','VC-SALGUEIRO',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'17913766000160','1337166','VC-RIO CLARO',2,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6054172, CÃ“DIGO: 6054180",sim,,
'30544446000148','1509063','VC-MED PARNAI PIAUI',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'7584400000130','1274910','VC-MARINGA',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'26657095000104','1459852','VC-TUCURUI',0,1,0,0,CÃ“DIGO: 6111677,não,,
'37031477000144','1565662','VC-VAO DO PARANA',0,1,0,0,CÃ“DIGO: 6135560,não,,
'13523124000101','1365293','VC-FLORIANO',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'1753657000192','1055344','VC-BOTUCATU',1,1,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6054180",não,,
'28473378000121','1600084','VC-JUNDIAI',1,1,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6054180",não,,
'26852070000161','1584227','VC-PIRACICABA',1,1,0,1,"CÃ“DIGO: 6054172, CÃ“DIGO: 6054180, CÃ“DIGO: 6135552",não,,
'38146510000144','1530350','VC-MIRACEMA TOCANTI',0,1,0,1,"CÃ“DIGO: 6054158, CÃ“DIGO: 6160545",não,,
'13287770000109','1326903','VC-ARARANGUA',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054205",não,,
'27758652000146','1545117','VC-JUAZEIRO',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'24866961000141','1418332','VC-PARANAIBA',0,1,0,0,CÃ“DIGO: 6165750,não,,
'12996791000130','1510005','VC-MATA ALAGOANA',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'23766714000100','1511435','VC-OBIDOS',0,1,0,0,CÃ“DIGO: 6054178,não,,
'10978293000130','1470795','VC-BRUMADO',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'37719594000103','1575410','VC-CAMPOS GOYTACAZE',0,1,0,1,"CÃ“DIGO: 6187066, CÃ“DIGO: 6162599",não,,
'37509833000192','1159977','VC-MEDIO ARAGUAIA',1,1,0,1,"CÃ“DIGO: 6054184, CÃ“DIGO: 6135560, CÃ“DIGO: 6132938",não,,
'33040368000132','1563962','VC-SAPE',0,1,0,0,CÃ“DIGO: 6054188,não,,
'30748515000135','1483838','VC-SALVADOR',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'35105524000121','1602355','VC-VALENCA',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'24000957000104','1457779','VC-ALTO GUAPORE',1,1,0,1,"CÃ“DIGO: 6054184, CÃ“DIGO: 6054187, CÃ“DIGO: 6132938",não,,
'16542595000147','1544207','VC-PASSO FUNDO',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'30681814000108','1524190','VC-SAO BENTO DO SUL',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'4912115000103','1260981','VC-PAULO AFONSO',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'39786421000125','1486186','VC-ALEGRE',0,1,0,1,"CÃ“DIGO: 6187066, CÃ“DIGO: 6162599",não,,
'4211997000180','1260562','VC-COREAU',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'96418264025476','1277843','VC-CASCAVEL (PR)',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'34465049000131','1572651','VC-GARANHUNS',1,2,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054188, CÃ“DIGO: 6054178",sim,,
'89824239000190','1464146','VC-PORTO ALEGRE',1,1,0,0,"CÃ“DIGO: 6054204, CÃ“DIGO: 6054205",não,,
'19561442000135','1526319','VC-MEDIO CURU',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6185568",não,,
'1673533000105','1162669','VC-CHAPAD A ITAPECU',0,1,0,0,CÃ“DIGO: 6111677,não,,
'22561841000100','1520621','VC-IPU',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'22109107000105','1444881','VC-PIO IX',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6111677",não,,
'27073801000214','1641669','VC-JOAO PESSOA',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054188",não,,
'29110636000178','1516310','VC-ARIQUEMES',1,1,0,1,"CÃ“DIGO: 6054184, CÃ“DIGO: 6165750, CÃ“DIGO: 6132938",não,,
'17167429000170','1497779','VC-CATALAO',1,1,0,1,"CÃ“DIGO: 6172311, CÃ“DIGO: 6135560, CÃ“DIGO: 6135561",não,,
'2239287000132','1059622','VC-JAU',1,1,0,1,"CÃ“DIGO: 6054172, CÃ“DIGO: 6054180, CÃ“DIGO: 6135552",não,,
'17007447000195','1323372','VC-CASCAVEL (CE)',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6185568",não,,
'3916165000104','1057414','VC-PIRASSUNUNGA',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
'29452284000139','1517517','VC-GRAMADO-CANELA',1,1,0,0,"CÃ“DIGO: 6054204, CÃ“DIGO: 6054205",não,,
'6182748000139','1066888','VC-BOQUIM',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'29045666000148','1593805','VC-CURIMATAU ORIENT',0,1,0,0,CÃ“DIGO: 6054188,não,,
'23044147000189','1581383','VC-ITAPECURU MIRIM',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'31968929000132','1504025','VC-SERG SERT S FRAN',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'76307024000150','1407274','VC-CAMPO MOURAO',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'26652404000153','1060612','VC-GOIANIA',1,1,0,0,"CÃ“DIGO: 6172311, CÃ“DIGO: 6135560",não,,
'70233630000191','1345105','VC-ALTO CAPIBARIBE',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'28131393000191','1473390','VC-UMARIZAL',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'3967184000151','1055120','VC-IVAIPORA',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'20720661000107','1612922','VC-BAIXO JAGUARIBE',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'35522961000140','1554158','VC-IGUATEMI',0,1,0,0,CÃ“DIGO: 6054190,não,,
'7711940000138','1494239','VC-MONTANHA',0,1,0,0,CÃ“DIGO: 6187066,não,,
'32653906000100','1522138','VC-RIO VERMELHO',0,1,0,0,CÃ“DIGO: 6135560,não,,
'4415928017325','1522280','VC-LAJEADO-ESTRELA',1,1,0,0,"CÃ“DIGO: 6054204, CÃ“DIGO: 6054205",não,,
'63400311000168','1351688','VC-MERUOCA',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'16041907000309','1174180','VC-NOVA ANDRADINA',0,1,0,0,CÃ“DIGO: 6054190,não,,
'7531416000185','1289220','VC-ILHEUS-ITABUNA',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'4168887000182','1083078','VC-PACAJUS',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6185568",não,,
'9066652000101','1145228','VC-S JOAQUIM BARRA',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
'8706240000118','1133895','VC-BLUMENAU',1,2,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190, CÃ“DIGO: 6054205",sim,,
'67511063000183','1463927','VC-ARACATUBA',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
'4431799000121','1140591','VC-ITAGUAI',1,1,0,1,"CÃ“DIGO: 6187067, CÃ“DIGO: 6187066, CÃ“DIGO: 6162599",não,,
'4987088000138','1051346','VC-VARGINHA',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
'34405293000109','1541164','VC-ST ANTONIO JESUS',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'29011581000149','1610923','VC-ARAXA',0,1,0,0,CÃ“DIGO: 6165750,não,,
'96174057000186','1052453','VC-OURINHOS',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'16416763000158','1345173','VC-PRUDENTOPOLIS',0,1,0,0,CÃ“DIGO: 6054190,não,,
'22090106000166','1383042','VC-FREDE WESTPHALEN',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'18171721000120','1531784','VC-FRUTAL',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
'18330147000105','1491170','VC-GUARAPARI',0,1,0,1,"CÃ“DIGO: 6187066, CÃ“DIGO: 6162599",não,,
'27570547000189','1552733','VC-PORECATU',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'20832024000114','1498154','VC-PELOTAS',1,1,0,0,"CÃ“DIGO: 6054204, CÃ“DIGO: 6054205",não,,
'91823807000180','1053878','VC-RESTINGA SECA',0,1,0,0,CÃ“DIGO: 6054205,não,,
'35093057000167','1598612','VC-MARILIA',1,2,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190, CÃ“DIGO: 6054180",sim,,
'3711081000126','1055447','VC-ALTA FLORESTA',1,1,0,1,"CÃ“DIGO: 6054184, CÃ“DIGO: 6165750, CÃ“DIGO: 6132938",não,,
'38848107000329','1640187','VC-ITABAIANA',0,1,0,0,CÃ“DIGO: 6054188,não,,
'11224957000138','1215966','VC-NOVO HORIZONTE',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
'31494290000109','1507537','VC-NOVA VENECIA',0,1,0,0,CÃ“DIGO: 6187066,não,,
'82029422000154','1308153','VC-PATO BRANCO',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'28200488000110','1479018','VC-CATU',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'14173913000114','1457504','VC-PONTA GROSSA',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'85301356000118','1080255','VC-CRICIUMA',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054205",não,,
'2798206000134','1051704','VC-DIANOPOLIS',0,1,0,0,CÃ“DIGO: 6135560,não,,
'8747284000196','1409184','VC-CACHOEIRO ITAPEM',0,1,0,1,"CÃ“DIGO: 6187066, CÃ“DIGO: 6162599",não,,
'35281250000121','1608284','VC-MACAPA',0,1,0,0,CÃ“DIGO: 6054178,não,,
'55129878000113','1004790','VC-ITAPETININGA',1,1,0,1,"CÃ“DIGO: 6054172, CÃ“DIGO: 6054180, CÃ“DIGO: 6135552",não,,
'38459860000160','1603500','VC-CACOAL',1,1,0,1,"CÃ“DIGO: 6054184, CÃ“DIGO: 6165750, CÃ“DIGO: 6132938",não,,
'13658052000100','1482710','VC-JABOTICABAL',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
'5963887000218','1411836','VC-PENEDO',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'34366578000188','1546070','VC-LITORAL SUL (PB)',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054188",não,,
'9521302000260','1587679','VC-S RAIMUNDO NONAT',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
'17008005000163','1440691','VC-RIO DO SUL',1,2,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190, CÃ“DIGO: 6054205",sim,,
