CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 42kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
-,1082896,VC-PELOTAS,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1342629,VC-CIANORTE,0,0,1,0,0, código: 6054190 ,não,,
-,1060167,VC-S JOAO BOA VISTA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1379880,VC-ANICUNS,0,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
-,1380741,VC-SERRANA QUILOMBO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1549462,VC-IRECE,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1631795,VC-BREJO PERNAMBU,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1136488,VC-GUAJARA-MIRIM,0,0,1,0,0, código: 6120895 ,não,,
-,1653318,VC-ALTA FLORESTA,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
-,1662827,VC-CASCAVEL (CE),0,0,1,0,0, código: 6191541 ,não,,
-,1498241,VC-JEREMOABO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1450090,VC-CHAPECO,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1395932,VC-CAXIAS DO SUL,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1005784,VC-REGISTRO,0,0,1,0,0, código: 6054180 ,não,,
-,1484192,VC-PORTO VELHO,0,0,1,0,0, código: 6120895 ,não,,
-,1129591,VC-UBERABA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1546527,VC-CORNELIO PROCOPI,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1543764,VC-SERRINHA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1648857,VC-GRAMADO-CANELA,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1050088,VC-SANTIAGO,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1661529,VC-BARRA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1050759,VC-PASSOS,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1052734,VC-JUNDIAI,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1651260,VC-ALAGOINHAS,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1425692,VC-TELEMACO BORBA,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1654773,VC-VILHENA,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
-,1534688,VC-MIRACEMA TOCANTI,0,0,1,0,0, código: 6054158 ,não,,
-,1445134,VC-S MIGUEL CAMPOS,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1495256,VC-JAGUARAO,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1589343,VC-SERG SERT S FRAN,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1060548,VC-PARANAIBA,0,0,1,0,0, código: 6165750 ,não,,
-,1409950,VC-RIBEIRAO PRETO,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1627657,VC-UBA,0,0,1,0,0, código: 6187066 ,não,,
-,1485541,VC-SALGADO,0,0,1,0,0, código: 6054178 ,não,,
-,1077611,VC-FREDE WESTPHALEN,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1364508,VC-TANGARA DA SERRA,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
-,1029154,VC-VALE PARAI FLUMI,1,0,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
-,1378523,VC-LITORAL LAGUNAR,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1062899,VC-ITUVERAVA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1631444,VC-CARIRA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1431333,VC-ITAGUAI,1,0,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
-,1060462,VC-S SEBAST PARAISO,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1566626,VC-CAMPANHA CENTRAL,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1604091,VC-ITABERABA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1433447,VC-CASTANHAL,0,0,1,0,0, código: 6054178 ,não,,
-,1070775,VC-BXO PARNAI MARAN,0,0,1,0,0, código: 6111677 ,não,,
-,1006308,VC-CURITIBA,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
