CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
14272939000110,1588658,VC-ITAPEMIRIM,0,1,0,0, código: 6187066 ,não,,
13792169000173,1271817,VC-TOLEDO,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
43598531000211,1060779,VC-ITAPETININGA,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
14078713000182,1445002,VC-CRUZ ALTA,2,1,0,0," código: 6054186 ,  código: 6054204 ,  código: 6054205 ",sim,,
2944362000409,1619759,VC-COTEGIPE,0,1,0,0, código: 6135560 ,não,,
11000134000129,1623615,VC-ITAITUBA,0,1,0,0, código: 6054178 ,não,,
29452284000139,1491374,VC-MONTENEGRO,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
79298345000123,1052221,VC-RIO DO SUL,1,2,0,0," código: 6054186 ,  código: 6054190 ,  código: 6054205 ",sim,,
11595396000183,1465048,VC-ROSARIO OESTE,1,2,0,0," código: 6054184 ,  código: 6054187 ,  código: 6165750 ",sim,,
3098765000102,1009690,VC-CANTAGALO-CORDEI,1,1,0,0," código: 6112143 ,  código: 6187066 ",não,,
4184646000127,1030268,VC-STA RITA SAPUCAI,0,1,0,0, código: 6165750 ,não,,
31369686000205,1594283,VC-ALTO SOLIMOES,0,0,0,0,,não,,
35907326000181,1553016,VC-PORANGATU,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
14418938000130,1434571,VC-BRAGANCA PAULIST,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
17425014000150,1496041,VC-CARAGUATATUBA,1,1,0,0," código: 6054172 ,  código: 6187066 ",não,,
30751087000108,1606444,VC-MOJI-MIRIM,2,1,0,0," código: 6172139 ,  código: 6054172 ,  código: 6054180 ",sim,,
21474133000170,1382036,VC-TABULEIRO,0,1,0,0, código: 6054205 ,não,,
3278036000120,1149621,VC-ALAGOA S S FRANC,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
11863002000120,1645502,VC-PONTA GROSSA,1,2,0,0," código: 6054186 ,  código: 6054190 ,  código: 6054180 ",sim,,
76487222001700,1532938,VC-TELEMACO BORBA,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
31608580000128,1511134,VC-LITORAL NORTE,0,1,0,0, código: 6054188 ,não,,
18978272000126,1470062,VC-AGLOM URB S LUIS,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
5310252000130,1227821,VC-JAGUARAO,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
33223823000135,1537657,VC-ITAJUBA,0,1,0,0, código: 6165750 ,não,,
20841787000121,1603804,VC-LIMEIRA,2,2,0,0," código: 6172139 ,  código: 6054172 ,  código: 6165750 ,  código: 6054180 ",sim,,
83158824002327,1052193,VC-CURITIBANOS,1,2,0,0," código: 6054186 ,  código: 6054190 ,  código: 6054205 ",sim,,
31418567000106,1496032,VC-PICOS,2,1,0,0," código: 6161835 ,  código: 6187345 ,  código: 6054178 ",sim,,
15070545000141,1327029,VC-PENEDO,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
28423771000100,1559431,VC-PRIMAVERA LESTE,1,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
57101057000102,1459619,VC-ASSIS,2,1,0,0," código: 6054172 ,  código: 6054186 ,  código: 6054180 ",sim,,
1790110000167,1067574,VC-BAIXA MARANHENSE,1,1,0,0," código: 6187345 ,  código: 6054178 ",não,,
31795759000131,1586798,VC-TRES LAGOAS,0,1,0,0, código: 6165750 ,não,,
28731889000104,1527606,VC-ALTO GUAPORE,1,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
53408860000125,1480176,VC-OURINHOS,2,1,0,0," código: 6054172 ,  código: 6054186 ,  código: 6054190 ",sim,,
34230979004950,867,VC-PORTO NACIONAL,0,1,0,0, código: 6054158 ,não,,
33909661000193,1573024,VC-CANARANA,1,2,0,0," código: 6054184 ,  código: 6135560 ,  código: 6054187 ",sim,,
