CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados
1254427,VC-IMPERATRIZ,13110691000128,0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178"
1564581,VC-MOJI-MIRIM,30751087000108,2,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180"
1054291,VC-JOACABA,95844007000104,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205"
1558030,VC-JAURU,13115150000192,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6132938"
1512259,VC-TRES LAGOAS,27270854000144,0,3,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750"
1605282,VC-CAMPO GRANDE,20164302000102,0,4,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6054190"
1362604,VC-WESCESLAU BRAZ,19758822000164,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054180"
1559655,VC-BAIA ILHA GRANDE,29574590000148,2,1,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6162599"
1590711,VC-PIRACICABA,9553624000100,1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180, CÓDIGO: 6135552"
1365696,VC-MACEIO,4833476000164,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178"
1444363,VC-ALTO M GURGUEIA,7078906000178,2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178"
1525029,VC-PINDARE,3619226000163,1,2,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178"
1063874,VC-CONCORDIA,3882887000187,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205"
1042909,VC-S JOAO BOA VISTA,67964825000105,1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6054180"
1592805,VC-CUIABA,37806325000176,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6132938"
1548954,VC-IJUI,11380954000193,2,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205"
1334484,VC-BAIXO PANTANAL,13829194000184,0,2,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187"
1557135,VC-S JOSE DO R PRET,33082893000110,1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6054180"
1437849,VC-JOINVILLE,21922845000104,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205"
1599292,VC-NOVA ANDRADINA,24404557000156,0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6054190"
1574738,VC-VARZEA ALEGRE,26037106000315,2,1,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677"
1617157,VC-VALE DO IPANEMA,40283592000110,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178"
1121560,VC-SAO PAULO,8785252000185,1,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6165750, CÓDIGO: 6054180"
1628097,VC-AQUIDAUANA,3649500000147,0,2,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187"
1004495,VC-S JOSE CAMPOS,50467885000101,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180"
1048658,VC-JUNDIAI,7671683000158,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180"
1455621,VC-CARAZINHO,97320451007908,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205"
1428712,VC-BARRO,14370371000170,2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178"
1052753,VC-TABULEIRO,521231000140,0,2,0,0,"CÓDIGO: 6054190, CÓDIGO: 6054205"
1640034,VC-ALTO SOLIMOES,43451633000129,0,3,0,1,"CÓDIGO: 6180473, CÓDIGO: 8020791, CÓDIGO: 6187022, CÓDIGO: 8018790"
1127153,VC-MEDIO CAPIBARIBE,8168072000154,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178"
1548814,VC-OURINHOS,33247399000169,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054180"
1493650,VC-ALTO CAPIBARIBE,27774533000187,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178"
1290805,VC-BRAGANCA PAULIST,14584586000193,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180"
1006434,VC-CURITIBANOS,83101337000112,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205"
1612715,VC-GERAIS DE BALSAS,29931188000173,0,3,0,0,"CÓDIGO: 6135560, CÓDIGO: 6111677, CÓDIGO: 6054178"
1177565,VC-AVARE,68038132000146,1,3,0,1,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054190, CÓDIGO: 6054180, CÓDIGO: 6135552"
1185469,VC-ITAGUAI,7642972000129,2,1,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6162599"
1603056,VC-LAGOS,32726625000121,2,1,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6162599"
1054110,VC-TRES PASSOS,973605000169,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205"
