Microregião,Cod_Cliente1,CNPJ,25 to,50 to,40 e,50 e,códigos analisados,Pode Sanear Micro?,Códigos a sanear,Comentario E.I.
VC-MEDIO CAPIBARIBE,19260316000140,1597534,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",,,
VC-GURUPI (MA),14635802000182,1630008,0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ITAITUBA,43830618000191,1635861,0,2,0,1,"CÓDIGO: 6165750, CÓDIGO: 6054178, CÓDIGO: 6132938",,,
VC-CONCORDIA,42078866000165,1624090,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-PASSO FUNDO,18175803000142,1648437,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-FLORIANOPOLIS,43945659000123,1637636,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-ALTO SOLIMOES,43170152000145,1624652,0,3,0,1,"CÓDIGO: 6180473, CÓDIGO: 8020791, CÓDIGO: 6187022, CÓDIGO: 8018790",,,
VC-JI-PARANA,44843466000124,1649085,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6120895, CÓDIGO: 6165750, CÓDIGO: 6132938",,,
VC-ITAGUAI,17264713000165,1566671,2,1,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6162599",,,
VC-ALTO TELES PIRES,22782709000129,1650466,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6132938",,,
VC-ALTAMIRA,29669089000165,1642137,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6054178, CÓDIGO: 6132938",,,
VC-CARAGUATATUBA,32546842000130,1623099,1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-GARANHUNS,35503758000127,1632900,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",,,
VC-BRAGANCA PAULIST,22748697000116,1614233,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",,,
VC-CARAZINHO,37543920000166,1627844,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-PALMAS,81750697000110,1551546,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-WESCESLAU BRAZ,14943846000170,1484690,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054180",,,
VC-BAIXO PANTANAL,31797656000100,1527674,0,2,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187",,,
VC-JOINVILLE,35779912000198,1646095,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-CERRO LARGO,97081434001096,1617785,1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-RIO DO SUL,11456823000142,1635721,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-AMPARO,31388164000161,1631861,1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-SERTAO DO MOXOTO,14423650000154,1624910,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",,,
VC-AVARE,68038132000146,1177565,1,3,0,1,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054190, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-RIO BRANCO,24627814000119,1641040,0,2,0,0,"CÓDIGO: 6120895, CÓDIGO: 6165750",,,
VC-BREJO PERNAMBU,10658502000168,1648170,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",,,
VC-JUNDIAI,28997644000115,1635998,1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-ITAJAI,41830788000140,1638131,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-JACAREZINHO,34497911000198,1615119,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054180",,,
VC-CRUZ ALTA,38144065000183,1617231,2,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-VARZEA ALEGRE,41569794000196,1627603,2,1,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677",,,
VC-GOIANIA,29170103000181,1560751,1,1,0,2,"CÓDIGO: 6172311, CÓDIGO: 6135560, CÓDIGO: 6135561, CÓDIGO: 6132939",,,
VC-LINS,78457454000183,1643786,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",,,
VC-PINDARE,29794683000188,1638276,1,2,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
