Microregião,CNPJ,Cod_Cliente1,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,Pode Sanear Micro?,Códigos a retirar,Comentario E.I.
VC-ADAMANTINA','43454978000136','1638719',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-AFONSO CLAUDIO','14209372000137','1364275',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599",,,
VC-AGRESTE ITABAIAN','16698944000114','1486227',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-AGRESTE LAGARTO','34375501000174','1637190',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-AL MEARIM GRAJAU','28028044000149','1451621',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ALAGOA S S FRANC','03611536000131','1630170',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ALAGOINHAS','42324800000108','1646071',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ALEGRE','41807285000154','1613263',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599",,,
VC-ALFENAS','11739079000193','1559368',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-ALTA FLORESTA','75911438001798','1617866',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-ALTAMIRA','29669089000165','1642137',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-ALTO ARAGUAIA','11471607000176','1227632',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-ALTO CAPIBARIBE','31343975000146','1635768',1,3,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ALTO GUAPORE','24690555000170','1629206',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-ALTO M GURGUEIA','23646870000219','1068563',2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ALTO ME CANINDE','43956043000158','1636636',2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ALTO PANTANAL','07192090000109','1537738',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-ALTO PARAGUAI','07398863000108','1062344',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-ALTO SOLIMOES','43170152000145','1624652',0,4,0,1,"CÓDIGO: 6180473, CÓDIGO: 8020791, CÓDIGO: 6111677, CÓDIGO: 6187022, CÓDIGO: 8018790",,,
VC-ALTO TAQUARI','28787311000161','1553110',1,4,0,0,"CÓDIGO: 6054184, CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-ALTO TELES PIRES','22782709000129','1650466',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-ALVORADA DOESTE','44510313000165','1647595',1,2,0,0,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-AMPARO','31388164000161','1631861',1,3,0,1,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-ANAPOLIS','10816406000109','1484877',1,2,0,0,"CÓDIGO: 6172311, CÓDIGO: 6135560, CÓDIGO: 6111677",,,
VC-ANDRADINA','41777553000213','1638616',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-ANDRELANDIA','17851981000930','1604406',0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-ANICUNS','26682610000106','1629762',0,2,0,1,"CÓDIGO: 6135560, CÓDIGO: 6111677, CÓDIGO: 6135561",,,
VC-APUCARANA','81689416000160','1632515',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190",,,
VC-AQUIDAUANA','20147696000190','1539580',0,3,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6111677",,,
VC-ARACAJU','30312192000132','1644122',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ARACATUBA','15913547000155','1608380',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-ARAGARCAS','30829079000129','1525355',0,2,0,0,"CÓDIGO: 6135560, CÓDIGO: 6111677",,,
VC-ARAPIRACA','01554921000169','1145399',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ARARANGUA','42237414000189','1637316',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054205",,,
VC-ARARAQUARA','11221006000105','1644927',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-ARARI','40827146000120','1640197',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ARARIPINA','40729885000189','1643905',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ARAXA','41197926000104','1616814',0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-ARINOS','13858125000107','1624162',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-ARIPUANA','42973946000184','1635917',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-ARIQUEMES','35421080000133','1620843',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6120895, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-ASSAI','19857136000140','1636480',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190",,,
VC-ASSIS','39473933000131','1586287',2,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180",,,
VC-ASTORGA','40601070000110','1642740',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190",,,
VC-AURIFLAMA','63971048000167','1061032',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-AVARE','68038132000146','1177565',1,4,0,1,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-BACIA D SAO JOAO','36947436000130','1610355',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599",,,
VC-BAIA ILHA GRANDE','33344202000100','1576274',2,2,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599",,,
VC-BAIXA MARANHENSE','21461245000196','1576022',1,2,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-BAIXO COTINGUIBA','37290614000165','1614317',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-BAIXO CURU','42027756000174','1610274',1,2,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6185568",,,
VC-BAIXO PANTANAL','31797656000100','1527674',0,3,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6111677",,,
VC-BARRA','35015487000160','1633408',1,3,0,0,"CÓDIGO: 6161835, CÓDIGO: 6135560, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-BARRA DO PIRAI','14232750000101','1276001',1,2,0,1,"CÓDIGO: 6187067, CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599",,,
VC-BARRA S FRANCISC','27984806000118','1440980',0,2,0,0,"CÓDIGO: 6187066, CÓDIGO: 6111677",,,
VC-BARREIRAS','16956269000186','1648434',0,4,0,3,"CÓDIGO: 6135560, CÓDIGO: 8020800, CÓDIGO: 6111677, CÓDIGO: 6054178, CÓDIGO: 8018790, CÓDIGO: 6132939, CÓDIGO: 8020801",,,
VC-BARRETOS','31061676000119','1645749',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-BARRO','43021285000150','1622535',2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-BATALHA','12316402000189','1602680',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-BATATAIS','01980824000138','1229898',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-BAURU','31526548000101','1593534',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-BELEM','41317962000156','1631739',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-BICO DO PAPAGAIO','08836171000167','1343912',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054158",,,
VC-BIRIGUI','34132062000179','1644704',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-BLUMENAU','30808688000100','1640975',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
